t,value
1602074485,0
1602074488,0
1602074491,0
1602074494,0
1602074497,0
1602074500,0
1602074503,0
1602074506,0
1602074509,0
1602074512,0
1602074515,0
1602074518,0
1602074521,0
1602074524,0
1602074527,0
1602074530,0
1602074533,0
1602074536,0
1602074539,0
1602074542,0
1602074545,0
1602074548,0
1602074551,0
1602074554,0
1602074557,0
1602074560,0
1602074563,0
1602074566,0
1602074569,0
1602074572,0
1602074575,0
1602074578,0
1602074581,0
1602074584,0
1602074587,0
1602074590,0
1602074593,0
1602074596,0
1602074599,0
1602074602,0
1602074605,0
1602074608,0
1602074611,0
1602074614,0
1602074617,0
1602074620,0
1602074623,0
1602074626,0
1602074629,0
1602074632,0
1602074635,0
1602074638,0
1602074641,0
1602074644,0
1602074647,0
1602074650,0
1602074653,0
1602074656,0
1602074659,0
1602074662,0
1602074665,0
1602074668,0
1602074671,0
1602074674,0
1602074677,0
1602074680,0
1602074683,0
1602074686,0
1602074689,0
1602074692,0
1602074695,0
1602074698,0
1602074701,0
1602074704,0
1602074707,0
1602074710,0
1602074713,0
1602074716,0
1602074719,0
1602074722,0
1602074725,0
1602074728,0
1602074731,0
1602074734,0
1602074737,0
1602074740,0
1602074743,0
1602074746,0
1602074749,0
1602074752,0
1602074755,0
1602074758,0
1602074761,0
1602074764,0
1602074767,0
1602074770,0
1602074773,0
1602074776,0
1602074779,0
1602074782,0
1602074785,0
1602074788,0
1602074791,0
1602074794,0
1602074797,0
1602074800,0
1602074803,0
1602074806,0
1602074809,0
1602074812,0
1602074815,0
1602074818,0
1602074821,0
1602074824,0
1602074827,0
1602074830,0
1602074833,0
1602074836,0
1602074839,0
1602074842,0
1602074845,0
1602074848,0
1602074851,0
1602074854,0
1602074857,0
1602074860,0
1602074863,0
1602074866,0
1602074869,0
1602074872,0
1602074875,0
1602074878,0
1602074881,0
1602074884,0
1602074887,0
1602074890,0
1602074893,0
1602074896,0
1602074899,0
1602074902,0
1602074905,0
1602074908,0
1602074911,0
1602074914,0
1602074917,0
1602074920,0
1602074923,0
1602074926,0
1602074929,0
1602074932,0
1602074935,0
1602074938,0
1602074941,0
1602074944,0
1602074947,0
1602074950,0
1602074953,0
1602074956,0
1602074959,0
1602074962,0
1602074965,0
1602074968,0
1602074971,0
1602074974,0
1602074977,0
1602074980,0
1602074983,0
1602074986,0
1602074989,0
1602074992,0
1602074995,0
1602074998,0
1602075001,0
1602075004,0
1602075007,0
1602075010,0
1602075013,0
1602075016,0
1602075019,0
1602075022,0
1602075025,0
1602075028,0
1602075031,0
1602075034,0
1602075037,0
1602075040,0
1602075043,0
1602075046,0
1602075049,0
1602075052,0
1602075055,0
1602075058,0
1602075061,0
1602075064,0
1602075067,0
1602075070,0
1602075073,0
1602075076,0
1602075079,0
1602075082,0
1602075085,0
1602075088,0
1602075091,0
1602075094,0
1602075097,0
1602075100,0
1602075103,0
1602075106,0
1602075109,0
1602075112,0
1602075115,0
1602075118,0
1602075121,0
1602075124,0
1602075127,0
1602075130,0
1602075133,0
1602075136,0
1602075139,0
1602075142,0
1602075145,0
1602075148,0
1602075151,0
1602075154,0
1602075157,0
1602075160,0
1602075163,0
1602075166,0
1602075169,0
1602075172,0
1602075175,0
1602075178,0
1602075181,0
1602075184,0
1602075187,0
1602075190,0
1602075193,0
1602075196,0
1602075199,0
1602075202,0
1602075205,0
1602075208,0
1602075211,0
1602075214,0
1602075217,0
1602075220,0
1602075223,0
1602075226,0
1602075229,0
1602075232,0
1602075235,0
1602075238,0
1602075241,0
1602075244,0
1602075247,0
1602075250,0
1602075253,0
1602075256,0
1602075259,0
1602075262,0
1602075265,0
1602075268,0
1602075271,0
1602075274,0
1602075277,0
1602075280,0
1602075283,0
1602075286,0
1602075289,0
1602075292,0
1602075295,0
1602075298,0
1602075301,0
1602075304,0
1602075307,0
1602075310,0
1602075313,0
1602075316,0
1602075319,0
1602075322,0
1602075325,0
1602075328,0
1602075331,0
1602075334,0
1602075337,0
1602075340,0
1602075343,0
t,value
1602076335,0
1602076338,0
1602076341,0
1602076344,51
1602076347,51
1602076350,51
1602076353,51
1602076356,51
1602076359,51
1602076362,51
1602076365,51
1602076368,51
1602076371,51
1602076374,51
1602076377,51
1602076380,51
1602076383,51
1602076386,51
1602076389,51
1602076392,51
1602076395,51
1602076398,51
1602076401,51
1602076404,51
1602076407,51
1602076410,51
1602076413,51
1602076416,51
1602076419,51
1602076422,51
1602076425,51
1602076428,51
1602076431,51
1602076434,51
1602076437,51
1602076440,51
1602076443,51
1602076446,51
1602076449,51
1602076452,51
1602076455,51
1602076458,51
1602076461,51
1602076464,51
1602076467,51
1602076470,51
1602076473,51
1602076476,51
1602076479,51
1602076482,51
1602076485,51
1602076488,51
1602076491,51
1602076494,51
1602076497,51
1602076500,51
1602076503,51
1602076506,51
1602076509,51
1602076512,51
1602076515,51
1602076518,51
1602076521,51
1602076524,51
1602076527,51
1602076530,51
1602076533,51
1602076536,51
1602076539,51
1602076542,51
1602076545,51
1602076548,51
1602076551,51
1602076554,51
1602076557,51
1602076560,51
1602076563,51
1602076566,51
1602076569,51
1602076572,51
1602076575,51
1602076578,51
1602076581,51
1602076584,51
1602076587,51
1602076590,51
1602076593,51
1602076596,51
1602076599,51
1602076602,51
1602076605,51
1602076608,51
1602076611,51
1602076614,51
1602076617,51
1602076620,51
1602076623,51
1602076626,51
1602076629,51
1602076632,51
1602076635,51
1602076638,51
1602076641,51
1602076644,51
1602076647,51
1602076650,51
1602076653,51
1602076656,36
1602076659,36
1602076662,36
1602076665,36
1602076668,36
1602076671,36
1602076674,36
1602076677,36
1602076680,36
1602076683,36
1602076686,36
1602076689,36
1602076692,36
1602076695,36
1602076698,36
1602076701,36
1602076704,36
1602076707,36
1602076710,36
1602076713,36
1602076716,36
1602076719,36
1602076722,36
1602076725,36
1602076728,36
