t,value
1602074485,810925
1602074488,810925
1602074491,810925
1602074494,810925
1602074497,810925
1602074500,810925
1602074503,810925
1602074506,810925
1602074509,810925
1602074512,810925
1602074515,810925
1602074518,810925
1602074521,810925
1602074524,810925
1602074527,810925
1602074530,810925
1602074533,810925
1602074536,810925
1602074539,810925
1602074542,810925
1602074545,810925
1602074548,810925
1602074551,810925
1602074554,810925
1602074557,810925
1602074560,810925
1602074563,810925
1602074566,810925
1602074569,810925
1602074572,810925
1602074575,810925
1602074578,810925
1602074581,810925
1602074584,810925
1602074587,810925
1602074590,810925
1602074593,810925
1602074596,810925
1602074599,810925
1602074602,810925
1602074605,810925
1602074608,810925
1602074611,810925
1602074614,810925
1602074617,810925
1602074620,810925
1602074623,810925
1602074626,810925
1602074629,810925
1602074632,810925
1602074635,810925
1602074638,810925
1602074641,810925
1602074644,810925
1602074647,810925
1602074650,810925
1602074653,810925
1602074656,810925
1602074659,810925
1602074662,810925
1602074665,810925
1602074668,810925
1602074671,810925
1602074674,810925
1602074677,810925
1602074680,810925
1602074683,810925
1602074686,810925
1602074689,810925
1602074692,810925
1602074695,810925
1602074698,810925
1602074701,810925
1602074704,810925
1602074707,810925
1602074710,810925
1602074713,810925
1602074716,810925
1602074719,810925
1602074722,810925
1602074725,810925
1602074728,810925
1602074731,810925
1602074734,810925
1602074737,810925
1602074740,810925
1602074743,810925
1602074746,810925
1602074749,810925
1602074752,810925
1602074755,810925
1602074758,810925
1602074761,810925
1602074764,810925
1602074767,810925
1602074770,810925
1602074773,810925
1602074776,810925
1602074779,810925
1602074782,810925
1602074785,810925
1602074788,810925
1602074791,810925
1602074794,810925
1602074797,810925
1602074800,810925
1602074803,810925
1602074806,810925
1602074809,810925
1602074812,810925
1602074815,810925
1602074818,810925
1602074821,810925
1602074824,810925
1602074827,810925
1602074830,810925
1602074833,810925
1602074836,810925
1602074839,810925
1602074842,810925
1602074845,810925
1602074848,810925
1602074851,810925
1602074854,810925
1602074857,810925
1602074860,810925
1602074863,810925
1602074866,810925
1602074869,810925
1602074872,810925
1602074875,810925
1602074878,810925
1602074881,810925
1602074884,810925
1602074887,810925
1602074890,810925
1602074893,810925
1602074896,810925
1602074899,810925
1602074902,810925
1602074905,810925
1602074908,810925
1602074911,810925
1602074914,810925
1602074917,810925
1602074920,810925
1602074923,810925
1602074926,810925
1602074929,810925
1602074932,810925
1602074935,810925
1602074938,810925
1602074941,810925
1602074944,810925
1602074947,810925
1602074950,810925
1602074953,810925
1602074956,810925
1602074959,810925
1602074962,810925
1602074965,810925
1602074968,810925
1602074971,810925
1602074974,810925
1602074977,810925
1602074980,810925
1602074983,810925
1602074986,810925
1602074989,810925
1602074992,810925
1602074995,810925
1602074998,810925
1602075001,810925
1602075004,810925
1602075007,810925
1602075010,810925
1602075013,810925
1602075016,810925
1602075019,810925
1602075022,810925
1602075025,810925
1602075028,810925
1602075031,810925
1602075034,810925
1602075037,810925
1602075040,810925
1602075043,810925
1602075046,810925
1602075049,810925
1602075052,810925
1602075055,810925
1602075058,810925
1602075061,810925
1602075064,810925
1602075067,810925
1602075070,810925
1602075073,810925
1602075076,810925
1602075079,810925
1602075082,942753
1602075085,942753
1602075088,942753
1602075091,942753
1602075094,942753
1602075097,942753
1602075100,942753
1602075103,942753
1602075106,942753
1602075109,942753
1602075112,942753
1602075115,942753
1602075118,942753
1602075121,942753
1602075124,942753
1602075127,942753
1602075130,942753
1602075133,942753
1602075136,942753
1602075139,942753
1602075142,942753
1602075145,942753
1602075148,942753
1602075151,942753
1602075154,942753
1602075157,942753
1602075160,942753
1602075163,942753
1602075166,942753
1602075169,942753
1602075172,942753
1602075175,942753
1602075178,942753
1602075181,942753
1602075184,942753
1602075187,942753
1602075190,942753
1602075193,942753
1602075196,942753
1602075199,942753
1602075202,942753
1602075205,942753
1602075208,942753
1602075211,942753
1602075214,942753
1602075217,942753
1602075220,942753
1602075223,942753
1602075226,942753
1602075229,942753
1602075232,942753
1602075235,942753
1602075238,942753
1602075241,942753
1602075244,942753
1602075247,942753
1602075250,942753
1602075253,942753
1602075256,942753
1602075259,942753
1602075262,942753
1602075265,942753
